Description,Invoice ,Item ,Qty,Unit Price,Discount,Total
Invoice 3-456-1 Data 4,3-456-1,4, oi ,$4.00 ,$4.00 ,$12.00 
Invoice 3-456-1 Data 5,3-456-1,5, rty ,$5.00 ,$5.00 ,$20.00 
Invoice 3-456-1 Data 6,3-456-1,6,,$6.00 ,$6.00 ,$30.00 
Invoice 3-456-1 Data 7,3-456-1,7, ui ,$7.00 ,$7.00 ,$42.00 
Invoice 3-456-1 Data 8,3-456-1,8, uiui ,$8.00 ,$8.00 ,$56.00 
Invoice 3-456-1 Data 9,3-456-1,9, ioio ,$9.00 ,$9.00 ,$72.00 
Invoice 3-456-1 Data 10,3-456-1,10,,$10.00 ,$10.00 ,$90.00 
Invoice 3-456-1 Data 11,3-456-1,11, ioio ,$11.00 ,$11.00 ,$110.00 
Invoice 3-456-1 Data 12,3-456-1,12, oi ,$12.00 ,$12.00 ,$132.00 
Invoice 3-456-1 Data 13,3-456-1,13, qwe ,$13.00 ,$13.00 ,$156.00 
Invoice 3-456-1 Data 14,3-456-1,14, ere ,$14.00 ,$14.00 ,$182.00 
Invoice 3-456-1 Data 15,3-456-1,15, qwe ,$15.00 ,$15.00 ,$210.00 
Invoice 3-456-1 Data 16,3-456-1,16, ere ,$16.00 ,$16.00 ,$240.00 
Invoice 3-456-1 Data 17,3-456-1,17,,$17.00 ,$17.00 ,$272.00 
Invoice 3-456-1 Data 18,3-456-1,18, uyu ,$18.00 ,$18.00 ,$306.00 
Invoice 3-456-1 Data 19,3-456-1,19, ui ,$19.00 ,$19.00 ,$342.00 
Invoice 3-456-1 Data 20,3-456-1,20, uiui ,$20.00 ,$20.00 ,$380.00 
Invoice 3-456-1 Data 21,3-456-1,21, ioio ,$21.00 ,$21.00 ,$420.00 
Invoice 3-456-1 Data 22,3-456-1,22, ioio ,$22.00 ,$22.00 ,$462.00 
Invoice 3-456-1 Data 23,3-456-1,23,,$23.00 ,$23.00 ,$506.00 
Invoice 3-456-1 Data 24,3-456-1,24, oi ,$24.00 ,$24.00 ,$552.00 
Invoice 3-456-1 Data 25,3-456-1,25, rty ,$25.00 ,$25.00 ,$600.00 
Invoice 3-456-2 Data 1,3-456-2,Z4567, uyu ,$5.00 ,,$195.00 
Invoice 3-456-2 Data 2,3-456-2,Z4568, ui ,$4.00 ,$5.00 ,$155.00 
Invoice 3-456-2 Data 3,3-456-2,Z4569, uiui ,$6.00 ,$7.00 ,$173.00 
Invoice 3-456-1 Data 2,3-456-1,2, ioio ,$2.00 ,$2.00 ,$2.00 
Invoice 3-456-1 Data 3,3-456-1,3, ioio ,$3.00 ,$3.00 ,$6.00 
Invoice 3-456-1 Data 4,3-456-1,4, ioio ,$4.00 ,$4.00 ,$12.00 
Invoice 3-456-1 Data 5,3-456-1,5, oi ,$5.00 ,$5.00 ,$20.00 
Invoice 3-456-1 Data 6,3-456-1,6, qwe ,$6.00 ,$6.00 ,$30.00 
Invoice 3-456-1 Data 7,3-456-1,7, ere ,$7.00 ,$7.00 ,$42.00 
Invoice 3-456-1 Data 8,3-456-1,8, qwe ,$8.00 ,$8.00 ,$56.00 
Invoice 3-456-1 Data 9,3-456-1,9, ere ,$9.00 ,$9.00 ,$72.00 
Invoice 3-456-1 Data 10,3-456-1,10, rty ,$10.00 ,$10.00 ,$90.00 
Invoice 3-456-1 Data 11,3-456-1,11, uyu ,$11.00 ,$11.00 ,$110.00 
Invoice 3-456-1 Data 12,3-456-1,12, ui ,$12.00 ,$12.00 ,$132.00 
Invoice 3-456-1 Data 13,3-456-1,13, uiui ,$13.00 ,$13.00 ,$156.00 
Invoice 3-456-1 Data 14,3-456-1,14, ioio ,$14.00 ,$14.00 ,$182.00 
Invoice 3-456-1 Data 15,3-456-1,15, ioio ,$15.00 ,$15.00 ,$210.00 
Invoice 3-456-1 Data 16,3-456-1,16, ioio ,$16.00 ,$16.00 ,$240.00 
Invoice 3-456-1 Data 17,3-456-1,17, oi ,$17.00 ,$17.00 ,$272.00 
Invoice 3-456-1 Data 18,3-456-1,18, rty ,$18.00 ,$18.00 ,$306.00 
Invoice 3-456-1 Data 19,3-456-1,19, uyu ,$19.00 ,$19.00 ,$342.00 
Invoice 3-456-1 Data 20,3-456-1,20, ui ,$20.00 ,$20.00 ,$380.00 
Invoice 3-456-1 Data 21,3-456-1,21, uiui ,$21.00 ,$21.00 ,$420.00 
Invoice 3-456-1 Data 22,3-456-1,22, ioio ,$22.00 ,$22.00 ,$462.00 
Invoice 3-456-1 Data 23,3-456-1,23, ioio ,$23.00 ,$23.00 ,$506.00 
Invoice 3-456-1 Data 24,3-456-1,24, ioio ,$24.00 ,$24.00 ,$552.00 
Invoice 3-456-1 Data 25,3-456-1,25, oi ,$25.00 ,$25.00 ,$600.00 
Invoice 3-456-2 Data 1,3-456-2,Z4567, qwe ,$5.00 ,,$195.00 
Invoice 3-456-1 Data 2,3-456-1,2, ere ,$2.00 ,$2.00 ,$2.00 
Invoice 3-456-1 Data 3,3-456-1,3, qwe ,$3.00 ,$3.00 ,$6.00 
Invoice 3-456-1 Data 4,3-456-1,4, ere ,$4.00 ,$4.00 ,$12.00 
Invoice 3-456-1 Data 5,3-456-1,5, rty ,$5.00 ,$5.00 ,$20.00 
Invoice 3-456-1 Data 6,3-456-1,6, uyu ,$6.00 ,$6.00 ,$30.00 
Invoice 3-456-1 Data 7,3-456-1,7, ui ,$7.00 ,$7.00 ,$42.00 
Invoice 3-456-1 Data 8,3-456-1,8, uiui ,$8.00 ,$8.00 ,$56.00 
Invoice 3-456-1 Data 9,3-456-1,9, ioio ,$9.00 ,$9.00 ,$72.00 
Invoice 3-456-1 Data 10,3-456-1,10, ioio ,$10.00 ,$10.00 ,$90.00 
Invoice 3-456-1 Data 11,3-456-1,11, ioio ,$11.00 ,$11.00 ,$110.00 
Invoice 3-456-1 Data 12,3-456-1,12, oi ,$12.00 ,$12.00 ,$132.00 
Invoice 3-456-1 Data 13,3-456-1,13, rty ,$13.00 ,$13.00 ,$156.00 
Invoice 3-456-1 Data 14,3-456-1,14, uyu ,$14.00 ,$14.00 ,$182.00 
Invoice 3-456-1 Data 15,3-456-1,15, ui ,$15.00 ,$15.00 ,$210.00 
Invoice 3-456-1 Data 16,3-456-1,16, uiui ,$16.00 ,$16.00 ,$240.00 
Invoice 3-456-1 Data 17,3-456-1,17, ioio ,$17.00 ,$17.00 ,$272.00 
Invoice 3-456-1 Data 18,3-456-1,18, ioio ,$18.00 ,$18.00 ,$306.00 
Invoice 3-456-1 Data 19,3-456-1,19, ioio ,$19.00 ,$19.00 ,$342.00 
Invoice 3-456-1 Data 20,3-456-1,20, oi ,$20.00 ,$20.00 ,$380.00 
Invoice 3-456-1 Data 21,3-456-1,21, qwe ,$21.00 ,$21.00 ,$420.00 
Invoice 3-456-1 Data 22,3-456-1,22, ere ,$22.00 ,$22.00 ,$462.00 
Invoice 3-456-1 Data 23,3-456-1,23, qwe ,$23.00 ,$23.00 ,$506.00 
Invoice 3-456-1 Data 24,3-456-1,24, ere ,$24.00 ,$24.00 ,$552.00 
Invoice 3-456-1 Data 25,3-456-1,25, rty ,$25.00 ,$25.00 ,$600.00 
Invoice 3-456-2 Data 1,3-456-2,Z4567, uyu ,$5.00 ,,$195.00 
Invoice 3-456-2 Data 2,3-456-2,Z4568, ui ,$4.00 ,$5.00 ,$155.00 
Invoice 3-456-2 Data 3,3-456-2,Z4569, uiui ,$6.00 ,$7.00 ,$173.00 
Invoice 3-456-2 Data 4,3-456-2,Z4570, ioio ,$7.00 ,,$280.00 
